,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
207,,,,,,,,,10.7544,106.7025,183F/31/8C,Đường Tôn Thất Thuyết,Phường 4,Quận 4,Hồ Chí Minh,True
208,,,,,,,,,10.76431,106.70177,,Hẻm 20 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
209,,,,,,,,,10.85623,106.6078,157/1,Đường Nguyễn Ảnh Thủ,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,True
210,,,,,,,,,10.76059,106.70966,469/100/9,Hẻm 469 Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
211,,,,,,,,,10.76267,106.70459,182,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
212,,,,,,,,,10.75332,106.7139,73,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
213,,,,,,,,,,,,,,,,True
214,,,,,,,,,10.76471,106.70637,35,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
215,,,,,,,,,10.7575,106.70183,37,Đường Số 47,Phường 4,Quận 4,Hồ Chí Minh,True
216,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
217,,,,,,,,,10.75892,106.70011,10A,Đường Số 10C,Phường 6,Quận 4,Hồ Chí Minh,True
218,,,,,,,,,10.75318,106.69549,2,Đường Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
219,,,,,,,,,11.57795,108.07392,,,,Huyện Di Linh,Lâm Đồng,True
220,,,,,,,,,10.75605,106.70346,62,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
221,,,,,,,,,,,,,,,,True
222,,,,,,,,,10.78484,106.67813,26/3,Hẻm 26 Trần Quang Diệu,Phường 13,Quận 3,Hồ Chí Minh,True
223,,,,,,,,,10.82374,106.62271,38,Đường D1,Phường Tân Thới Nhất,Quận 12,Hồ Chí Minh,True
224,,,,,,,,,10.78536,106.65105,,Đường Lạc Long Quân,Phường 8,Quận Tân Bình,Hồ Chí Minh,True
225,,,,,,,,,10.75293,106.69507,2,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
226,,,,,,,,,10.75734,106.71102,B131/5,Hẻm 111 Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
227,,,,,,,,,10.76503,106.70421,109/35,Đường Lê Quốc Hưng,Phường 13,Quận 4,Hồ Chí Minh,True
228,,,,,,,,,10.75779,106.70034,25,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
229,,,,,,,,,10.75704,106.70035,173,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
230,,,,,,,,,10.76037,106.71119,330/13,Hẻm 9 Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
231,,,,,,,,,,,,,,,,True
232,,,,,,,,,,,,,,,,True
233,,,,,,,,,,,,,,,,True
